parent_taxon_id,taxon_id,rank_level,leaf_class_id,name
1118992,35526,20.0,,Podarcis
85552,36074,30.0,,Phrynosomatidae
797562,36090,20.0,,Uta
36090,36094,10.0,63,Uta stansburiana
797562,36141,20.0,,Sceloporus
36141,36202,10.0,64,Sceloporus olivaceus
36141,36204,10.0,65,Sceloporus occidentalis
200152,36362,20.0,,Anolis
36362,36514,10.0,66,Anolis carolinensis
85552,36982,30.0,,Scincidae
787700,37763,20.0,,Plestiodon
26036,39532,40.0,,Testudines
39532,39680,30.0,,Chelydridae
39680,39681,20.0,,Chelydra
39681,39682,10.0,67,Chelydra serpentina
39532,39760,30.0,,Emydidae
797544,39770,20.0,,Chrysemys
39770,39771,10.0,68,Chrysemys picta
797544,39776,20.0,,Trachemys
39776,39782,10.0,69,Trachemys scripta
355675,40151,50.0,,Mammalia
848324,41573,40.0,,Carnivora
41573,41636,30.0,,Ursidae
846255,41637,20.0,,Ursus
41637,41638,10.0,70,Ursus americanus
41573,41660,30.0,,Procyonidae
41660,41661,20.0,,Procyon
41661,41663,10.0,71,Procyon lotor
41573,42043,30.0,,Canidae
42043,42044,20.0,,Canis
42044,42051,10.0,72,Canis latrans
42043,42054,20.0,,Vulpes
42054,42069,10.0,73,Vulpes vulpes
424850,42158,30.0,,Cervidae
846324,42219,20.0,,Odocoileus
42219,42220,10.0,74,Odocoileus hemionus
42219,42223,10.0,75,Odocoileus virginianus
848319,42540,40.0,,Didelphimorphia
42540,42541,30.0,,Didelphidae
846338,42646,20.0,,Didelphis
42646,42652,10.0,76,Didelphis virginiana
848323,43094,40.0,,Lagomorpha
43094,43095,30.0,,Leporidae
43095,43096,20.0,,Sylvilagus
43096,43111,10.0,77,Sylvilagus floridanus
848323,43698,40.0,,Rodentia
870764,43791,30.0,,Castoridae
43791,43792,20.0,,Castor
43792,43794,10.0,78,Castor canadensis
129411,45933,30.0,,Sciuridae
339575,45994,20.0,,Sciurus
45994,46017,10.0,79,Sciurus carolinensis
45994,46020,10.0,80,Sciurus niger
520586,46217,10.0,81,Tamias striatus
339575,46257,20.0,,Tamiasciurus
46257,46260,10.0,82,Tamiasciurus hudsonicus
47115,47114,50.0,,Gastropoda
1,47115,60.0,,Mollusca
47119,47118,40.0,,Araneae
245097,47119,50.0,,Arachnida
1,47120,60.0,,Arthropoda
47123,47122,30.0,,Fabaceae
47124,47123,40.0,,Fabales
47125,47124,50.0,,Magnoliopsida
211194,47125,57.0,,Angiospermae
,47126,70.0,,Plantae
47124,47132,40.0,,Rosales
47132,47148,30.0,,Rosaceae
48151,47151,30.0,,Scrophulariaceae
184884,47157,40.0,,Lepidoptera
372739,47158,50.0,,Insecta
47163,47162,40.0,,Poales
47125,47163,50.0,,Liliopsida
1094814,47167,40.0,,Agaricales
47170,47169,60.0,,Basidiomycota
,47170,70.0,,Fungi
355675,47178,50.0,,Actinopterygii
47124,47181,40.0,,Ericales
144113,47186,40.0,,Decapoda
473790,47187,50.0,,Malacostraca
47189,47188,10.0,83,Pachygrapsus crassipes
47190,47189,20.0,,Pachygrapsus
47191,47190,30.0,,Grapsidae
706188,47191,33.0,,Grapsoidea
47193,47192,10.0,84,Cornus canadensis
47194,47193,20.0,,Cornus
47195,47194,30.0,,Cornaceae
47124,47195,40.0,,Cornales
184884,47201,40.0,,Hymenoptera
71275,47204,30.0,,Brassicaceae
372854,47207,33.0,,Elateroidea
184884,47208,40.0,,Coleoptera
47214,47213,30.0,,Sphingidae
47157,47214,33.0,,Bombycoidea
47218,47217,30.0,,Orchidaceae
47163,47218,40.0,,Asparagales
578086,47219,10.0,85,Apis mellifera
538904,47220,20.0,,Apis
630955,47221,30.0,,Apidae
326777,47222,33.0,,Apoidea
47224,47223,30.0,,Papilionidae
47157,47224,33.0,,Papilionoidea
207785,47225,20.0,,Papilio
545186,47226,10.0,86,Papilio rutulus
47178,47233,40.0,,Perciformes
47329,47328,30.0,,Liliaceae
47163,47329,40.0,,Liliales
48232,47332,30.0,,Papaveraceae
48740,47336,30.0,,Formicidae
922113,47351,20.0,,Prunus
47363,47362,30.0,,Apocynaceae
47124,47363,40.0,,Gentianales
47124,47366,40.0,,Caryophyllales
47375,47374,30.0,,Cupressaceae
136329,47375,40.0,,Pinales
47379,47378,20.0,,Trametes
47380,47379,30.0,,Polyporaceae
50814,47380,40.0,,Polyporales
47393,47392,10.0,87,Coprinus comatus
47394,47393,20.0,,Coprinus
785517,47394,30.0,,Agaricaceae
47162,47434,30.0,,Poaceae
47436,47435,10.0,88,Lotus corniculatus
533443,47436,20.0,,Lotus
906897,47483,20.0,,Helix
68625,47484,30.0,,Helicidae
775812,47485,40.0,,Stylommatophora
1,47491,60.0,,Annelida
47522,47516,10.0,89,Oncorhynchus mykiss
47519,47518,10.0,90,Salmo trutta
342904,47519,20.0,,Salmo
47521,47520,30.0,,Salmonidae
47178,47521,40.0,,Salmoniformes
342904,47522,20.0,,Oncorhynchus
47534,47533,50.0,,Anthozoa
1,47534,60.0,,Cnidaria
319384,47535,30.0,,Araneidae
47540,47539,30.0,,Celastraceae
47124,47540,40.0,,Celastrales
922171,47544,20.0,,Rubus
1,47549,60.0,,Echinodermata
1004912,47552,20.0,,Argiope
47562,47561,20.0,,Pinus
47375,47562,30.0,,Pinaceae
47567,47566,20.0,,Populus
51820,47567,30.0,,Salicaceae
47374,47574,20.0,,Juniperus
47115,47584,50.0,,Bivalvia
904149,47588,10.0,91,Cypripedium acaule
211065,47589,20.0,,Cypripedium
47218,47599,30.0,,Asparagaceae
967514,47602,10.0,92,Taraxacum officinale
632701,47603,20.0,,Taraxacum
47605,47604,30.0,,Asteraceae
47124,47605,40.0,,Asterales
121850,47606,27.0,,Arctiinae
47157,47607,33.0,,Noctuoidea
47650,47649,30.0,,Acrididae
700600,47650,33.0,,Acridoidea
184884,47651,40.0,,Orthoptera
47224,47653,30.0,,Hesperiidae
481959,47668,50.0,,Asteroidea
47672,47671,30.0,,Asteriidae
533697,47672,40.0,,Forcipulatida
47685,47684,50.0,,Myxomycetes
47686,47685,60.0,,Mycetozoa
,47686,70.0,,Protozoa
47688,47687,10.0,93,Erodium cicutarium
47689,47688,20.0,,Erodium
47690,47689,30.0,,Geraniaceae
47124,47690,40.0,,Geraniales
47363,47693,30.0,,Rubiaceae
47698,47697,10.0,94,Hesperis matronalis
903187,47698,20.0,,Hesperis
47701,47699,10.0,95,Geranium maculatum
47689,47701,20.0,,Geranium
47727,47726,10.0,96,Acer negundo
58321,47727,20.0,,Acer
47124,47729,40.0,,Sapindales
372784,47734,40.0,,Polydesmida
144128,47735,50.0,,Diplopoda
47743,47742,30.0,,Pentatomidae
372868,47743,33.0,,Pentatomoidea
184884,47744,40.0,,Hemiptera
47747,47746,20.0,,Equisetum
47748,47747,30.0,,Equisetaceae
764793,47748,40.0,,Equisetales
47752,47751,10.0,97,Polystichum munitum
870758,47752,20.0,,Polystichum
961001,47753,30.0,,Dryopteridaceae
764796,47754,40.0,,Polypodiales
47777,47776,10.0,98,Ariolimax columbianus
916897,47777,20.0,,Ariolimax
487049,47778,30.0,,Arionidae
47780,47779,10.0,99,Iris pseudacorus
790633,47780,20.0,,Iris
47218,47781,30.0,,Iridaceae
47783,47782,30.0,,Cambaridae
311310,47783,33.0,,Astacoidea
47791,47790,30.0,,Onagraceae
47124,47791,40.0,,Myrtales
184884,47792,40.0,,Odonata
184884,47793,40.0,,Dermaptera
813994,47796,30.0,,Actiniidae
202756,47797,40.0,,Actiniaria
48848,47802,10.0,100,Lymantria dispar
47819,47818,20.0,,Libellula
47927,47819,30.0,,Libellulidae
184884,47822,40.0,,Diptera
367163,47823,30.0,,Pholcidae
861036,47850,10.0,101,Quercus agrifolia
47852,47851,20.0,,Quercus
47853,47852,30.0,,Fagaceae
47124,47853,40.0,,Fagales
367176,47866,30.0,,Thomisidae
47889,47888,10.0,102,Impatiens capensis
47890,47889,20.0,,Impatiens
47181,47890,30.0,,Balsaminaceae
47366,47903,30.0,,Cactaceae
632069,47906,20.0,,Asclepias
47906,47911,10.0,103,Asclepias syriaca
47906,47912,10.0,104,Asclepias tuberosa
47917,47916,10.0,105,Actias luna
125080,47917,20.0,,Actias
47214,47918,30.0,,Saturniidae
47920,47919,10.0,106,Antheraea polyphemus
125080,47920,20.0,,Antheraea
47224,47922,30.0,,Nymphalidae
47224,47923,30.0,,Lycaenidae
426081,47925,30.0,,Coenagrionidae
47792,47927,37.0,,Anisoptera
47792,47928,37.0,,Zygoptera
47928,47929,30.0,,Calopterygidae
47818,47934,10.0,107,Libellula luctuosa
963992,47961,30.0,,Cerambycidae
47977,47975,10.0,108,Argia apicalis
47925,47977,20.0,,Argia
47981,47980,10.0,109,Speyeria cybele
134168,47981,20.0,,Speyeria
47605,48040,30.0,,Campanulaceae
791932,48063,20.0,,Lysimachia
47181,48064,30.0,,Primulaceae
47163,48073,40.0,,Alismatales
372853,48089,34.0,,Schizophora
47822,48091,37.0,,Brachycera
48096,48094,10.0,110,Dryocampa rubicunda
125085,48096,20.0,,Dryocampa
47727,48098,10.0,111,Acer rubrum
1097016,48111,30.0,,Mantidae
184884,48112,40.0,,Mantodea
367200,48139,30.0,,Salticidae
144114,48147,40.0,,Isopoda
523723,48150,30.0,,Boraginaceae
47124,48151,40.0,,Lamiales
47233,48158,30.0,,Percidae
48202,48201,30.0,,Scarabaeidae
702480,48202,33.0,,Scarabaeoidea
48218,48217,20.0,,Fucus
48219,48218,30.0,,Fucaceae
48220,48219,40.0,,Fucales
48221,48220,50.0,,Phaeophyceae
48222,48221,60.0,,Ochrophyta
,48222,70.0,,Chromista
48226,48225,10.0,112,Eschscholzia californica
889631,48226,20.0,,Eschscholzia
48230,48229,10.0,113,Ranunculus repens
746715,48230,20.0,,Ranunculus
48232,48231,30.0,,Ranunculaceae
47124,48232,40.0,,Ranunculales
48241,48240,10.0,114,Erythronium americanum
859161,48241,20.0,,Erythronium
746708,48245,20.0,,Aquilegia
47170,48250,60.0,,Ascomycota
47562,48255,20.0,,Tsuga
48257,48256,10.0,115,Pseudotsuga menziesii
47562,48257,20.0,,Pseudotsuga
48290,48284,10.0,116,Oniscus asellus
48291,48290,20.0,,Oniscus
343798,48291,30.0,,Oniscidae
48296,48295,20.0,,Armadillidium
343798,48296,30.0,,Armadillidiidae
952186,48327,40.0,,Lecanorales
50814,48341,40.0,,Russulales
48151,48377,30.0,,Bignoniaceae
47366,48382,30.0,,Polygonaceae
118249,48419,20.0,,Amanita
785522,48420,30.0,,Pluteaceae
895657,48431,20.0,,Laetiporus
931408,48439,20.0,,Chenopodium
48444,48443,10.0,117,Lycoperdon perlatum
48445,48444,20.0,,Lycoperdon
785517,48445,30.0,,Lycoperdaceae
790770,48461,10.0,118,Pinus ponderosa
48475,48473,10.0,119,Ganoderma applanatum
47379,48475,20.0,,Ganoderma
48487,48484,10.0,120,Harmonia axyridis
471714,48486,30.0,,Coccinellidae
333796,48487,20.0,,Harmonia
48496,48494,10.0,121,Pleurotus ostreatus
905657,48495,30.0,,Pleurotaceae
48495,48496,20.0,,Pleurotus
324170,48498,20.0,,Gleditsia
48801,48502,10.0,122,Cercis canadensis
48506,48505,10.0,123,Junonia coenia
202224,48506,20.0,,Junonia
202066,48507,20.0,,Vanessa
47224,48508,30.0,,Pieridae
47124,48515,40.0,,Solanales
48515,48516,30.0,,Solanaceae
47124,48526,40.0,,Dipsacales
48526,48527,30.0,,Caprifoliaceae
48532,48529,10.0,124,Tremella mesenterica
83737,48530,40.0,,Tremellales
48530,48531,30.0,,Tremellaceae
48531,48532,20.0,,Tremella
706195,48533,20.0,,Symplocarpus
48073,48536,30.0,,Araceae
48539,48538,10.0,125,Cytisus scoparius
548591,48539,20.0,,Cytisus
48507,48548,10.0,126,Vanessa cardui
48507,48549,10.0,127,Vanessa virginiensis
48551,48550,10.0,128,Phoebis sennae
119556,48551,20.0,,Phoebis
632885,48561,20.0,,Cirsium
47366,48567,30.0,,Caryophyllaceae
723302,48582,20.0,,Sorbus
48587,48586,10.0,129,Cepaea nemoralis
910283,48587,20.0,,Cepaea
850994,48596,20.0,,Campanula
48601,48599,10.0,130,Phytolacca americana
47366,48600,30.0,,Phytolaccaceae
48600,48601,20.0,,Phytolacca
48151,48623,30.0,,Lamiaceae
914083,48625,10.0,131,Oenothera speciosa
47790,48626,20.0,,Oenothera
48663,48662,10.0,132,Danaus plexippus
522900,48663,20.0,,Danaus
47607,48670,30.0,,Noctuidae
48686,48685,10.0,133,Typha latifolia
48694,48686,20.0,,Typha
47162,48694,30.0,,Typhaceae
48700,48699,30.0,,Apiaceae
47124,48700,40.0,,Apiales
48419,48715,10.0,134,Amanita muscaria
48255,48734,10.0,135,Tsuga canadensis
326777,48740,33.0,,Vespoidea
47222,48742,30.0,,Sphecidae
48769,48767,10.0,136,Hypholoma fasciculare
785517,48768,30.0,,Strophariaceae
48768,48769,20.0,,Hypholoma
47124,48796,40.0,,Malvales
48796,48797,30.0,,Malvaceae
746816,48801,20.0,,Cercis
47124,48808,40.0,,Laurales
48808,48809,30.0,,Lauraceae
47671,48834,20.0,,Pisaster
121850,48847,27.0,,Lymantriinae
82039,48848,20.0,,Lymantria
48201,48857,27.0,,Rutelinae
47729,48874,30.0,,Anacardiaceae
922210,48939,20.0,,Eriogonum
48960,48957,10.0,137,Arilus cristatus
133754,48959,30.0,,Reduviidae
482431,48960,20.0,,Arilus
48533,48961,10.0,138,Symplocarpus foetidus
48988,48987,10.0,139,Hippodamia convergens
333796,48988,20.0,,Hippodamia
861036,49005,10.0,140,Quercus rubra
82042,49031,20.0,,Orgyia
47132,49041,30.0,,Rhamnaceae
49052,49051,10.0,141,Anthopleura sola
47796,49052,20.0,,Anthopleura
48507,49133,10.0,142,Vanessa atalanta
49151,49150,10.0,143,Agraulis vanillae
134173,49151,20.0,,Agraulis
47178,49175,40.0,,Siluriformes
49195,49193,10.0,144,Callicarpa americana
48151,49194,30.0,,Verbenaceae
48623,49195,20.0,,Callicarpa
49203,49202,10.0,145,Fagus grandifolia
47852,49203,20.0,,Fagus
47178,49216,40.0,,Cypriniformes
49290,49288,10.0,146,Podophyllum peltatum
48232,49289,30.0,,Berberidaceae
923973,49290,20.0,,Podophyllum
47178,49333,40.0,,Cyprinodontiformes
960961,49338,20.0,,Encelia
49338,49339,10.0,147,Encelia farinosa
49349,49348,10.0,148,Hyles lineata
124055,49349,20.0,,Hyles
791419,49389,20.0,,Stellaria
701533,49399,10.0,149,Juniperus virginiana
47329,49464,30.0,,Melanthiaceae
858333,49465,20.0,,Trillium
49478,49477,10.0,150,Monotropa uniflora
451956,49478,20.0,,Monotropa
713337,49528,30.0,,Forficulidae
49541,49540,10.0,151,Gasteracantha cancriformis
1004909,49541,20.0,,Gasteracantha
49555,49552,10.0,152,Scutigera coleoptrata
49556,49553,40.0,,Scutigeromorpha
49553,49554,30.0,,Scutigeridae
49554,49555,20.0,,Scutigera
144128,49556,50.0,,Chilopoda
736941,49566,10.0,153,Cicindela sexguttata
372884,49567,30.0,,Carabidae
373919,49568,20.0,,Cicindela
49589,49587,10.0,154,Micropterus salmoides
47233,49588,30.0,,Centrarchidae
49588,49589,20.0,,Micropterus
49589,49590,10.0,155,Micropterus dolomieu
49592,49591,10.0,156,Lepomis macrochirus
49588,49592,20.0,,Lepomis
49595,49594,10.0,157,Pomoxis nigromaculatus
49588,49595,20.0,,Pomoxis
49597,49596,10.0,158,Salvelinus fontinalis
342904,49597,20.0,,Salvelinus
49216,49609,30.0,,Cyprinidae
49592,49614,10.0,159,Lepomis gibbosus
902567,49652,20.0,,Cardamine
49661,49658,10.0,160,Liquidambar styraciflua
71434,49661,20.0,,Liquidambar
49664,49662,10.0,161,Platanus occidentalis
64516,49663,30.0,,Platanaceae
49663,49664,20.0,,Platanus
48834,49699,10.0,162,Pisaster ochraceus
49764,49761,10.0,163,Anartia jatrophae
202068,49764,20.0,,Anartia
48245,49868,10.0,164,Aquilegia canadensis
746720,49869,20.0,,Caltha
202066,49921,20.0,,Nymphalis
49975,49972,10.0,165,Battus philenor
47223,49973,27.0,,Papilioninae
49973,49974,25.0,,Troidini
522893,49975,20.0,,Battus
414448,49995,30.0,,Syrphidae
545185,50072,10.0,166,Papilio cresphontes
50148,50147,10.0,167,Celithemis eponina
47819,50148,20.0,,Celithemis
47925,50175,20.0,,Enallagma
50204,50203,10.0,168,Bidens pilosa
568277,50204,20.0,,Bidens
508722,50249,20.0,,Maianthemum
47961,50265,27.0,,Lamiinae
50280,50278,10.0,169,Parthenocissus quinquefolia
71291,50279,30.0,,Vitaceae
50279,50280,20.0,,Parthenocissus
50299,50298,10.0,170,Fragaria vesca
975959,50299,20.0,,Fragaria
50311,50310,10.0,171,Arisaema triphyllum
937792,50311,20.0,,Arisaema
50334,50333,10.0,172,Lantana camara
936164,50334,20.0,,Lantana
50341,50340,10.0,173,Hylephila phyleus
320552,50341,20.0,,Hylephila
202066,50392,20.0,,Polygonia
551317,50586,40.0,,Venerida
775840,50600,30.0,,Mytilidae
840983,50636,20.0,,Plantago
48151,50638,30.0,,Plantaginaceae
634950,50641,20.0,,Solanum
50791,50790,10.0,174,Linaria vulgaris
556743,50791,20.0,,Linaria
492000,50814,50.0,,Agaricomycetes
51820,50828,30.0,,Violaceae
50828,50829,20.0,,Viola
972882,50879,20.0,,Erigeron
134175,50881,20.0,,Limenitis
47124,50898,40.0,,Magnoliales
50940,50931,10.0,175,Strymon melinus
522886,50940,20.0,,Strymon
47132,50998,30.0,,Moraceae
51045,51044,10.0,176,Sanguinaria canadensis
889631,51045,20.0,,Sanguinaria
50249,51062,10.0,177,Maianthemum racemosum
707807,51079,20.0,,Toxicodendron
51079,51080,10.0,178,Toxicodendron diversilobum
571260,51110,10.0,179,Xylocopa virginica
574159,51111,20.0,,Xylocopa
176269,51146,30.0,,Chrysomelidae
51148,51147,10.0,180,Crataegus monogyna
723302,51148,20.0,,Crataegus
51222,51221,10.0,181,Procambarus clarkii
47782,51222,20.0,,Procambarus
47742,51276,27.0,,Pentatominae
47178,51368,40.0,,Esociformes
51368,51369,30.0,,Esocidae
51369,51370,20.0,,Esox
51469,51468,20.0,,Anax
47927,51469,30.0,,Aeshnidae
47819,51556,20.0,,Sympetrum
738332,51610,10.0,182,Veronica chamaedrys
840955,51611,20.0,,Veronica
47544,51646,10.0,183,Rubus parviflorus
49052,51659,10.0,184,Anthopleura xanthogrammica
51703,51702,10.0,185,Coccinella septempunctata
333796,51703,20.0,,Coccinella
51742,51741,10.0,186,Aegopodium podagraria
790559,51742,20.0,,Aegopodium
48663,51743,10.0,187,Danaus gilippus
51769,51768,10.0,188,Gaillardia pulchella
635184,51769,20.0,,Gaillardia
372868,51776,33.0,,Coreoidea
51776,51777,30.0,,Coreidae
55695,51781,10.0,189,Tyria jacobaeae
47124,51820,40.0,,Malpighiales
51820,51821,30.0,,Euphorbiaceae
47929,51825,20.0,,Calopteryx
345605,51874,20.0,,Lonicera
51876,51875,10.0,190,Trifolium pratense
512504,51876,20.0,,Trifolium
51886,51884,10.0,191,Urtica dioica
47132,51885,30.0,,Urticaceae
51885,51886,20.0,,Urtica
558819,51900,20.0,,Hypochaeris
47925,52054,20.0,,Ischnura
52077,52075,10.0,192,Atalopedes campestris
320552,52077,20.0,,Atalopedes
902614,52111,20.0,,Baccharis
47566,52119,10.0,193,Populus deltoides
52159,52158,10.0,194,Schistocerca nitens
523283,52159,20.0,,Schistocerca
791475,52195,20.0,,Silene
47366,52327,30.0,,Amaranthaceae
48515,52345,30.0,,Convolvulaceae
901813,52380,33.0,,Aphidoidea
52380,52381,30.0,,Aphididae
790765,52391,10.0,195,Pinus strobus
52472,52471,10.0,196,Vicia cracca
633087,52472,20.0,,Vicia
52483,52482,10.0,197,Episyrphus balteatus
121991,52483,20.0,,Episyrphus
520020,52491,20.0,,Eristalis
47727,52543,10.0,198,Acer saccharum
49052,52564,10.0,199,Anthopleura elegantissima
52593,52592,10.0,200,Pararge aegeria
58599,52593,20.0,,Pararge
52629,52628,10.0,201,Araneus diadematus
417879,52629,20.0,,Araneus
52683,52681,10.0,202,Pteridium aquilinum
47754,52682,30.0,,Dennstaedtiaceae
52682,52683,20.0,,Pteridium
781703,52689,20.0,,Sambucus
52721,52720,10.0,203,Dactylis glomerata
552962,52721,20.0,,Dactylis
47746,52724,10.0,204,Equisetum arvense
777272,52728,20.0,,Cephalanthus
919178,52736,20.0,,Monarda
48740,52747,30.0,,Vespidae
638567,52756,20.0,,Polistes
789379,52757,10.0,205,Polistes fuscatus
858902,52761,20.0,,Hypericum
52728,52763,10.0,206,Cephalanthus occidentalis
52765,52764,10.0,207,Prunella vulgaris
919181,52765,20.0,,Prunella
538883,52775,20.0,,Bombus
538900,52779,10.0,208,Bombus bimaculatus
900988,52818,20.0,,Achillea
1105043,52821,10.0,209,Achillea millefolium
900988,52845,20.0,,Matricaria
1043615,52847,20.0,,Anthriscus
48700,52849,30.0,,Araliaceae
900983,52855,20.0,,Artemisia
52855,52856,10.0,210,Artemisia vulgaris
50641,52899,10.0,211,Solanum carolinense
52912,52911,10.0,212,Dolichovespula maculata
84738,52912,20.0,,Dolichovespula
52914,52913,10.0,213,Cichorium intybus
632700,52914,20.0,,Cichorium
130316,52924,20.0,,Phyciodes
52924,52925,10.0,214,Phyciodes tharos
47207,52932,30.0,,Cantharidae
902567,52977,20.0,,Barbarea
902789,52979,20.0,,Capsella
